rssi,x,y,z
-95,1732.214596386068,2177.670549884439,1.5
-96,1732.214596386068,2177.670549884439,1.5
-94,1692.273828270962,2177.335691876709,1.5
-103,1640.046159936581,2181.814114546403,1.5
-103,1590.148171055363,2195.961733626202,1.5
-99,1550.20653995662,2217.78029390797,1.5
-97,1550.20653995662,2217.78029390797,1.5
-100,1543.899021349032,2220.90466077812,1.5
-101,1543.899021349032,2220.90466077812,1.5
-104,1543.897477379302,2221.015408253297,1.5
-109,1535.173007471662,2228.09376023151,1.5
-97,1522.934653736651,2236.784650649875,1.5
-95,1390.788832067163,2272.60310713388,1.5
-92,1390.788832067163,2272.60310713388,1.5
-103,1189.471414934262,2305.460857445374,1.5
-112,1189.471414934262,2305.460857445374,1.5
-94,1189.471414934262,2305.460857445374,1.5
-100,1117.213872093649,2317.633210806176,1.5
-97,1117.213872093649,2317.633210806176,1.5
-99,1022.673402381712,2322.404604832642,1.5
-96,999.3269189181738,2229.475130015984,1.5
-112,1012.520067939244,2211.271813454106,1.5
-117,1087.925914369174,2054.59001616016,1.5
-105,1005.965997082414,1673.727062525228,1.5
-110,919.1913394976873,1571.381129549816,1.5
-108,883.5064440981369,1545.8480637623,1.5
-114,847.168101306539,1515.653437471949,1.5
-115,827.3594676894718,1500.311606129631,1.5
-111,726.422772082733,1434.209379607812,1.5
-115,708.6009436357999,1423.658282122575,1.5
-112,705.1367627311265,1421.726694052108,1.5
-115,679.7942046773387,1412.953340318054,1.5
-112,660.8127158615971,1419.222937915474,1.5
-107,633.0553850339493,1472.889810337685,1.5
-109,633.0553850339493,1472.889810337685,1.5
-108,629.8870679256506,1479.159308729693,1.5
-100,629.8870679256506,1479.159308729693,1.5
-98,620.5564050765242,1500.185636838898,1.5
-94,622.2289438314619,1549.390819707885,1.5
-101,622.2289438314619,1549.390819707885,1.5
-100,675.7773239907692,1582.485483326018,1.5
-102,724.9988644561963,1623.937856432982,1.5
-106,740.2844945457764,1646.970375403762,1.5
-116,761.1466152382782,1667.754763774574,1.5
-104,824.1577877139207,1897.929526016116,1.5
-110,823.2838396799634,1931.037388786674,1.5
-110,816.1131449664244,1966.49408428371,1.5
-108,806.6434672850883,2004.798620212823,1.5
-109,839.0212456864538,2039.257830772549,1.5
-110,839.0212456864538,2039.257830772549,1.5
-108,942.2323344120523,2082.572137398645,1.5
-110,994.7932961126789,2105.682363441214,1.5
-107,1014.278947525076,2114.816276405007,1.5
-113,1014.278947525076,2114.816276405007,1.5
-113,1014.278947525076,2114.816276405007,1.5
-112,1025.921130854927,2119.409768428653,1.5
-115,1000.883502606768,2198.9245403409,1.5
-110,985.6870179186808,2220.866003461182,1.5
-114,937.5657294204575,2276.796448511072,1.5
-112,923.3189536161372,2289.557279421017,1.5
-112,734.7864457948017,2377.308016893454,1.5
-113,553.8974067648523,2234.430463448167,1.5
-110,461.244025246473,2243.766322614625,1.5
-113,275.8311408932786,2196.74836045783,1.5
-111,204.0817901155096,2121.415282541886,1.5
-111,204.0817901155096,2121.415282541886,1.5
-110,161.1549907514709,1938.707119571045,1.5
-112,161.1549907514709,1938.707119571045,1.5
-112,161.1549907514709,1938.707119571045,1.5
-110,164.4417953753145,1931.331658482552,1.5
-110,164.4417953753145,1931.331658482552,1.5
-109,169.5371310929186,1875.575096479617,1.5
-113,169.5371310929186,1875.575096479617,1.5
-111,186.9627047504182,1775.351268602535,1.5
-109,213.7715238005621,1708.933175535873,1.5
-107,213.7715238005621,1708.933175535873,1.5
-111,194.4111408516183,1690.938296177424,1.5
-104,194.5354765511584,1682.078441750258,1.5
-109,205.0412226031767,1657.856474852189,1.5
-109,205.4580985606299,1657.419244951569,1.5
-110,205.8858534288593,1656.206777794287,1.5
-110,205.8858534288593,1656.206777794287,1.5
-109,205.8858534288593,1656.206777794287,1.5
-106,210.3578496132977,1644.860224345699,1.5
-111,327.2588513216469,1495.188517777249,1.5
-107,417.5630476996303,1396.761973876506,1.5
-112,417.5630476996303,1396.761973876506,1.5
-109,417.5630476996303,1396.761973876506,1.5
-108,417.5630476996303,1396.761973876506,1.5
-111,419.9693256871542,1393.583384929225,1.5
-112,441.5107001980068,1365.860615843907,1.5
-112,497.2149100422394,1325.6566099599,1.5
-110,514.6260563432006,1292.226605928503,1.5
-106,531.3391314854962,1271.968413337134,1.5
-110,553.5010040438501,1251.232709882781,1.5
-109,604.7716736355796,1175.630684419535,1.5
-106,604.7716736355796,1175.630684419535,1.5
-113,675.587741675321,1097.422268966213,1.5
-110,776.9507620617514,986.1888057896867,1.5
-115,793.9668350777356,973.577730441466,1.5
-111,794.7850136740017,973.8107230290771,1.5
-110,807.67365468957,977.3142282189801,1.5
-107,807.67365468957,977.3142282189801,1.5
-108,876.1167879902059,1009.841451277956,1.5
-108,876.1167879902059,1009.841451277956,1.5
-109,907.3277995599201,1024.788966624066,1.5
-110,938.8851661487715,1029.661225762218,1.5
-105,845.0307426824002,941.9477245286107,1.5
-109,845.0307426824002,941.9477245286107,1.5
-109,841.0502657362958,940.2304712636396,1.5
-108,841.0502657362958,940.2304712636396,1.5
-109,700.2089576642029,820.3996415408328,1.5
