,x,y,z,lat,lng,elevation
0,1494.522505568457,1093.36204565689,1.5,-22.824351,-47.059808,628.0
1,1495.022505568457,1093.86204565689,1.5,-22.824351,-47.059808,628.0
2,1495.522505568457,1094.36204565689,1.5,-22.824351,-47.059808,628.0
3,1496.022505568457,1094.86204565689,1.5,-22.824351,-47.059808,628.0
4,1444.593585658935,1176.185366079211,1.5,-22.823597,-47.060283,620.0
5,1320.3428198279,1081.072501675226,1.5,-22.82444,-47.061506,606.0
6,1320.8428198279,1081.572501675226,1.5,-22.82444,-47.061506,606.0
7,1427.714067433903,1539.605084873736,1.5,-22.820314,-47.060398,626.0
8,1474.99973235745,1587.452449325472,1.5,-22.819888,-47.059931,638.0
9,1475.49973235745,1587.952449325472,1.5,-22.819888,-47.059931,638.0
10,1512.031507335603,1774.171838387847,1.5,-22.818207,-47.059545,639.0
11,1370.417874818086,1774.965434107929,1.5,-22.818182,-47.060924,629.0
12,1370.917874818086,1775.465434107929,1.5,-22.818182,-47.060924,629.0
13,1282.52453760989,1796.667813068256,1.5,-22.817975,-47.061777,621.0
14,1283.02453760989,1797.167813068256,1.5,-22.817975,-47.061777,621.0
15,1099.841056074598,2296.898203218356,1.5,-22.813436,-47.063488,605.0
16,1100.341056074598,2297.398203218356,1.5,-22.813436,-47.063488,605.0
17,1107.425474438176,2268.536449596286,1.5,-22.813693,-47.063418,601.0
18,1107.925474438176,2269.036449596286,1.5,-22.813693,-47.063418,601.0
19,1121.82634635712,2259.433000843972,1.5,-22.813777,-47.063279,600.0
20,1122.32634635712,2259.933000843972,1.5,-22.813777,-47.063279,600.0
21,1200.810981404909,1934.652991903014,1.5,-22.816719,-47.062554,619.0
22,1201.310981404909,1935.152991903014,1.5,-22.816719,-47.062554,619.0
23,1193.807051055599,1884.70899908524,1.5,-22.817169,-47.062629,617.0
24,1194.307051055599,1885.20899908524,1.5,-22.817169,-47.062629,617.0
25,1711.940416683909,2173.511221848428,1.5,-22.814627,-47.057544,652.0
26,1712.440416683909,2174.011221848428,1.5,-22.814627,-47.057544,652.0
27,1530.542923228117,2221.383066867478,1.5,-22.814172,-47.059304,636.0
28,1500.184681108221,2270.251991886646,1.5,-22.813727,-47.059593,633.0
29,978.8491558027454,2364.770608691499,1.5,-22.812808,-47.064657,601.0
30,979.3491558027454,2365.270608691499,1.5,-22.812808,-47.064657,601.0
31,855.8682120376616,2332.478748695925,1.5,-22.813084,-47.065859,591.0
32,964.110628716182,2236.404413409531,1.5,-22.813965,-47.064818,599.0
33,964.610628716182,2236.904413409531,1.5,-22.813965,-47.064818,599.0
34,965.110628716182,2237.404413409531,1.5,-22.813965,-47.064818,599.0
35,1063.938829543535,1875.251551368274,1.5,-22.817238,-47.063895,602.0
36,1064.438829543535,1875.751551368274,1.5,-22.817238,-47.063895,602.0
37,794.7655535446247,1503.400110995397,1.5,-22.820561,-47.066567,607.0
38,795.2655535446247,1503.900110995397,1.5,-22.820561,-47.066567,607.0
39,795.7655535446247,1504.400110995397,1.5,-22.820561,-47.066567,607.0
40,796.2655535446247,1504.900110995397,1.5,-22.820561,-47.066567,607.0
41,569.3361069695675,1396.230701235123,1.5,-22.8215,-47.068777,603.0
42,569.8361069695675,1396.730701235123,1.5,-22.8215,-47.068777,603.0
43,983.6241381774888,1626.559221916832,1.5,-22.819473,-47.064711,587.0
44,984.1241381774888,1627.059221916832,1.5,-22.819473,-47.064711,587.0
45,1116.241356581217,1519.969666535035,1.5,-22.820452,-47.063434,593.0
46,1116.741356581217,1520.469666535035,1.5,-22.820452,-47.063434,593.0
47,1099.258900495945,2022.514487059787,1.5,-22.815913,-47.063531,604.0
48,1099.758900495945,2023.014487059787,1.5,-22.815913,-47.063531,604.0
49,1079.349489177344,2109.854847700335,1.5,-22.815122,-47.063713,606.0
50,1079.849489177344,2110.354847700335,1.5,-22.815122,-47.063713,606.0
51,621.5411320693092,2390.455227799714,1.5,-22.812531,-47.068133,582.0
52,622.0411320693092,2390.955227799714,1.5,-22.812531,-47.068133,582.0
53,622.5411320693092,2391.455227799714,1.5,-22.812531,-47.068133,582.0
54,623.0411320693092,2391.955227799714,1.5,-22.812531,-47.068133,582.0
55,552.4280848791823,2368.662716213614,1.5,-22.812719,-47.068809,583.0
56,552.9280848791823,2369.162716213614,1.5,-22.812719,-47.068809,583.0
57,172.1368687112117,1909.839504617266,1.5,-22.816813,-47.072575,599.0
58,172.6368687112117,1910.339504617266,1.5,-22.816813,-47.072575,599.0
59,173.1368687112117,1910.839504617266,1.5,-22.816813,-47.072575,599.0
60,173.6368687112117,1911.339504617266,1.5,-22.816813,-47.072575,599.0
61,174.1368687112117,1911.839504617266,1.5,-22.816813,-47.072575,599.0
62,208.8025018305052,1887.424634393305,1.5,-22.81702,-47.072221,600.0
63,209.3025018305052,1887.924634393305,1.5,-22.81702,-47.072221,600.0
64,259.5645188090275,1958.143398704007,1.5,-22.816388,-47.071717,602.0
65,260.0645188090275,1958.643398704007,1.5,-22.816388,-47.071717,602.0
66,182.1457547461032,2060.07325805258,1.5,-22.815458,-47.072457,586.0
67,182.6457547461032,2060.57325805258,1.5,-22.815458,-47.072457,586.0
68,183.1457547461032,2061.07325805258,1.5,-22.815458,-47.072457,586.0
69,183.6457547461032,2061.57325805258,1.5,-22.815458,-47.072457,586.0
70,352.4883611525875,2244.346611587331,1.5,-22.813816,-47.070773,577.0
71,352.9883611525875,2244.846611587331,1.5,-22.813816,-47.070773,577.0
72,353.4883611525875,2245.346611587331,1.5,-22.813816,-47.070773,577.0
