,x,y,z,lat,lng,elevation
0,1380.649964805751,2358.97232126072,1.5,-22.8129109999999,-47.0607449999999,619.0
1,718.1668616727693,1165.80961365439,1.5,-22.8235989999999,-47.067359,605.0
2,730.046698116872,1146.037408318371,1.5,-22.8237789999999,-47.067246,605.0
3,741.4460855494835,1131.243105551228,1.5,-22.8239139999999,-47.0671369999999,605.0
4,781.9398480138043,1069.889757832512,1.5,-22.824473,-47.066751,606.0
5,797.6873853442958,1037.876221679151,1.5,-22.824764,-47.0666019999999,608.0
6,816.6350821922533,1019.310595043004,1.5,-22.8249339999999,-47.0664199999999,613.0
7,746.1219750110758,1134.631662484258,1.5,-22.823884,-47.0670909999999,604.0
8,904.6513224978116,1061.970104210079,1.5,-22.82456,-47.065557,612.0
9,461.261934267648,1517.116796448827,1.5,-22.820395,-47.069813,599.0
10,461.261934267648,1517.116796448827,1.5,-22.820395,-47.069813,599.0
11,461.261934267648,1517.116796448827,1.5,-22.820395,-47.069813,599.0
12,461.261934267648,1517.116796448827,1.5,-22.820395,-47.069813,599.0
13,1056.111933182809,855.8417121684179,1.5,-22.8264399999999,-47.06411,620.0
14,1056.111933182809,855.8417121684179,1.5,-22.8264399999999,-47.06411,620.0
15,1041.352537364699,883.3277215156704,1.5,-22.8261899999999,-47.06425,619.0
16,1041.352537364699,883.3277215156704,1.5,-22.8261899999999,-47.06425,619.0
17,822.9650383817498,809.1583642903715,1.5,-22.826832,-47.066387,621.0
18,961.5034248580924,873.4602069621906,1.5,-22.826269,-47.065029,614.0
19,766.0524999735644,899.1927851587534,1.5,-22.8260119999999,-47.066929,623.0
20,734.584868485108,763.2807911876589,1.5,-22.827235,-47.0672539999999,618.0
21,818.3907762203598,681.1553397160023,1.5,-22.827987,-47.066449,625.0
22,913.2795843260828,687.4679928012192,1.5,-22.827942,-47.065524,625.0
23,914.802023815806,681.3969653099775,1.5,-22.827997,-47.06551,626.0
24,898.7273341040127,692.8028476387262,1.5,-22.827892,-47.065665,625.0
25,920.8778257520172,658.1095859436318,1.5,-22.828208,-47.0654539999999,627.0
26,869.3878890124615,639.5551316328347,1.5,-22.828369,-47.065958,629.0
27,952.1688607800752,755.3600157964975,1.5,-22.827334,-47.0651359999999,621.0
28,943.9202140226262,779.8354722447693,1.5,-22.8271119999999,-47.065213,621.0
29,970.7122272361304,692.2592080822214,1.5,-22.8279059999999,-47.064964,627.0
30,738.6101797057199,908.4455127045512,1.5,-22.8259249999999,-47.067195,625.0
31,795.1864566482836,1238.555829978548,1.5,-22.8229519999999,-47.0665989999999,611.0
32,903.181282778387,1145.026727480814,1.5,-22.82381,-47.0655599999999,605.0
33,870.2185728700133,1159.851741373539,1.5,-22.8236719999999,-47.0658789999999,604.0
34,928.8465319056996,1145.385768098757,1.5,-22.82381,-47.06531,607.0
35,955.1004071586068,1103.660569749773,1.5,-22.8241899999999,-47.06506,611.0
36,874.8739636944374,1157.369179503992,1.5,-22.8236949999999,-47.0658339999999,604.0
37,874.8739636944374,1157.369179503992,1.5,-22.8236949999999,-47.0658339999999,604.0
38,874.8739636944374,1157.369179503992,1.5,-22.8236949999999,-47.0658339999999,604.0
39,874.8739636944374,1157.369179503992,1.5,-22.8236949999999,-47.0658339999999,604.0
40,874.8739636944374,1157.369179503992,1.5,-22.8236949999999,-47.0658339999999,604.0
41,874.8739636944374,1157.369179503992,1.5,-22.8236949999999,-47.0658339999999,604.0
42,983.6989337885752,1099.85130944103,1.5,-22.8242279999999,-47.064782,611.0
43,929.6227049543522,1200.006018425338,1.5,-22.823317,-47.0652949999999,603.0
44,979.5716653990094,1167.363002041355,1.5,-22.823618,-47.064813,611.0
45,994.6761321968517,1181.309650945477,1.5,-22.823494,-47.0646639999999,609.0
46,994.6316389092244,1140.435077030212,1.5,-22.823863,-47.06467,609.0
47,1134.354651491158,1164.320694554597,1.5,-22.8236649999999,-47.063306,603.0
48,954.0819216198288,1242.551330774091,1.5,-22.822936,-47.065051,594.0
49,964.894994279719,1284.351902078837,1.5,-22.82256,-47.06494,593.0
50,1003.494606649387,1189.519139615819,1.5,-22.8234209999999,-47.064577,606.0
51,1035.030372344423,1240.027887578122,1.5,-22.8229689999999,-47.064263,597.0
52,1035.030372344423,1240.027887578122,1.5,-22.8229689999999,-47.064263,597.0
53,1035.030372344423,1240.027887578122,1.5,-22.8229689999999,-47.064263,597.0
54,1035.030372344423,1240.027887578122,1.5,-22.8229689999999,-47.064263,597.0
55,1035.030372344423,1240.027887578122,1.5,-22.8229689999999,-47.064263,597.0
56,1371.911431837827,1123.552485599183,1.5,-22.824063,-47.060998,619.0
57,1371.911431837827,1123.552485599183,1.5,-22.824063,-47.060998,619.0
58,1483.91785654478,1198.444817899726,1.5,-22.8234009999999,-47.059897,624.0
59,1477.620059203473,1134.664669262245,1.5,-22.823976,-47.059967,620.0
60,1453.691061270423,1068.755409467034,1.5,-22.8245679999999,-47.060209,626.0
61,1514.7384927643,1057.42255602777,1.5,-22.8246779999999,-47.0596159999999,630.0
62,1535.566592690651,1066.6632508412,1.5,-22.8245972,-47.0594118999999,632.0
63,920.7537140498752,1422.971822516061,1.5,-22.8213029999999,-47.065351,596.0
64,856.2457792165224,1424.617090685293,1.5,-22.8212799999999,-47.065979,601.0
65,856.2457792165224,1424.617090685293,1.5,-22.8212799999999,-47.065979,601.0
66,822.3185524331639,1449.619364192709,1.5,-22.82105,-47.0663059999999,599.0
67,862.0471076284302,1296.205546366051,1.5,-22.82244,-47.06594,606.0
68,632.6538360912818,1545.549120163545,1.5,-22.8201599999999,-47.06814,602.0
69,814.8645561498706,1387.927153525874,1.5,-22.821606,-47.066387,596.0
70,831.4578849292593,1464.258070279844,1.5,-22.8209189999999,-47.0662149999999,601.0
71,744.5384756576968,1475.115450862795,1.5,-22.8208099999999,-47.06706,608.0
72,768.8557141075144,1571.825410449877,1.5,-22.81994,-47.06681,600.0
73,807.4148087917129,1531.380302665755,1.5,-22.8203099999999,-47.0664399999999,605.0
74,729.4558147835778,1598.966310813092,1.5,-22.81969,-47.06719,603.0
75,729.4558147835778,1598.966310813092,1.5,-22.81969,-47.06719,603.0
76,729.4558147835778,1598.966310813092,1.5,-22.81969,-47.06719,603.0
77,717.1361138038337,1598.793843872845,1.5,-22.81969,-47.06731,604.0
78,704.9022867530584,1775.853998156264,1.5,-22.8180899999999,-47.067405,593.0
79,729.9348511800636,1696.782601272687,1.5,-22.8188069999999,-47.067172,603.0
80,729.9348511800636,1696.782601272687,1.5,-22.8188069999999,-47.067172,603.0
81,700.6337528251461,1772.692690865137,1.5,-22.818118,-47.067447,594.0
82,643.2807571246522,1688.590858632699,1.5,-22.8188699999999,-47.0680169999999,600.0
83,643.2807571246522,1688.590858632699,1.5,-22.8188699999999,-47.0680169999999,600.0
84,648.6159193961648,1681.576311675832,1.5,-22.818934,-47.067966,602.0
85,648.6159193961648,1681.576311675832,1.5,-22.818934,-47.067966,602.0
86,648.6159193961648,1681.576311675832,1.5,-22.818934,-47.067966,602.0
87,648.6159193961648,1681.576311675832,1.5,-22.818934,-47.067966,602.0
88,624.2634165058844,1778.047978209332,1.5,-22.8180599999999,-47.06819,598.0
89,726.1869245226262,1781.136588117108,1.5,-22.8180449999999,-47.067197,592.0
90,729.83792289556,1784.400013009086,1.5,-22.8180159999999,-47.0671609999999,592.0
91,732.2832907871343,1785.763477671891,1.5,-22.818004,-47.0671369999999,592.0
92,707.6950877654017,1789.074681213126,1.5,-22.8179709999999,-47.067376,593.0
93,657.4741034376202,1884.962686980143,1.5,-22.8170989999999,-47.067852,591.0
94,687.5937088237843,1875.30435115099,1.5,-22.81719,-47.06756,591.0
95,783.6357003223384,1836.4392750673,1.5,-22.817553,-47.06663,593.0
96,783.6357003223384,1836.4392750673,1.5,-22.817553,-47.06663,593.0
97,764.5386273025651,1872.947522236034,1.5,-22.817221,-47.066811,592.0
98,791.1604974602233,1907.769400681369,1.5,-22.81691,-47.066547,587.0
99,783.6357003223384,1836.4392750673,1.5,-22.817553,-47.06663,593.0
100,783.6357003223384,1836.4392750673,1.5,-22.817553,-47.06663,593.0
101,823.938002967916,1832.904732258059,1.5,-22.8175899999999,-47.0662379999999,587.0
102,716.669056957704,1888.892959509976,1.5,-22.8170709999999,-47.0672749999999,590.0
103,722.3079140897607,1984.898362254724,1.5,-22.816205,-47.0672069999999,583.0
104,722.3079140897607,1984.898362254724,1.5,-22.816205,-47.0672069999999,583.0
105,722.3079140897607,1984.898362254724,1.5,-22.816205,-47.0672069999999,583.0
106,722.3079140897607,1984.898362254724,1.5,-22.816205,-47.0672069999999,583.0
107,722.3079140897607,1984.898362254724,1.5,-22.816205,-47.0672069999999,583.0
108,722.3079140897607,1984.898362254724,1.5,-22.816205,-47.0672069999999,583.0
109,697.6272287794272,1980.122103141621,1.5,-22.816245,-47.067448,583.0
110,658.2893668476027,1958.746684521437,1.5,-22.816433,-47.0678339999999,585.0
111,659.98892741499,2013.379909820855,1.5,-22.81594,-47.06781,586.0
112,684.1053301904467,2124.487147657201,1.5,-22.81494,-47.06756,577.0
113,583.1747879338218,1999.011886255816,1.5,-22.8160599999999,-47.0685599999999,584.0
