,latitude,longitude,elevation,maps_lat,maps_long,resolution
0,-22.81652622484874,-47.06795672687522,600.3689575195312,-22.81653,-47.06796,152.7032318115234
1,-22.82545318443932,-47.06446633687482,625.8605346679688,-22.82545,-47.06447,152.7032318115234
2,-22.81642866763006,-47.06200737084524,626.047119140625,-22.81643,-47.06201,152.7032318115234
3,-22.82776994105871,-47.06196103350754,633.66064453125,-22.82777,-47.06196,152.7032318115234
4,-22.82763003696435,-47.06218980463417,632.4469604492188,-22.82763,-47.06219,152.7032318115234
5,-22.82782100159061,-47.06252284061403,633.3499145507812,-22.82782,-47.06252,152.7032318115234
6,-22.82251646307299,-47.069369590487,613.1113891601562,-22.82252,-47.06937,152.7032318115234
7,-22.81339875696824,-47.06844160908378,588.3938598632812,-22.8134,-47.06844,152.7032318115234
8,-22.81357082191597,-47.06759880578392,590.6785278320312,-22.81357,-47.0676,152.7032318115234
9,-22.82811664038289,-47.06358650026009,633.75830078125,-22.82812,-47.06359,152.7032318115234
10,-22.8194651913492,-47.06030612626292,640.5908203125,-22.81947,-47.06031,152.7032318115234
11,-22.81488772375965,-47.06581090990243,606.4613037109375,-22.81489,-47.06581,152.7032318115234
12,-22.81457182811442,-47.06532669247166,609.677490234375,-22.81457,-47.06533,152.7032318115234
13,-22.81631492626869,-47.06396094571683,610.6093139648438,-22.81631,-47.06396,152.7032318115234
14,-22.81629129469981,-47.06392243611736,610.867919921875,-22.81629,-47.06392,152.7032318115234
15,-22.81678490055834,-47.06494008721835,605.00048828125,-22.81678,-47.06494,152.7032318115234
16,-22.81649573053498,-47.06566417389227,599.9661865234375,-22.8165,-47.06566,152.7032318115234
17,-22.81690554813498,-47.06560997955505,599.243896484375,-22.81691,-47.06561,152.7032318115234
18,-22.8168028409969,-47.06537013555504,601.3687744140625,-22.8168,-47.06537,152.7032318115234
19,-22.81596894359253,-47.06449113306785,609.2645263671875,-22.81597,-47.06449,152.7032318115234
20,-22.81617067913005,-47.06536987761719,602.56884765625,-22.81617,-47.06537,152.7032318115234
21,-22.81643207019085,-47.06452953302347,608.734619140625,-22.81643,-47.06453,152.7032318115234
22,-22.81723313639932,-47.06912213937049,605.3732299804688,-22.81723,-47.06912,152.7032318115234
23,-22.81719530079116,-47.0690148940891,605.0475463867188,-22.8172,-47.06901,152.7032318115234
24,-22.81528722423836,-47.07010821668231,598.1968994140625,-22.81529,-47.07011,152.7032318115234
25,-22.81512457417785,-47.07020340940772,597.51171875,-22.81512,-47.0702,152.7032318115234
26,-22.81546814805517,-47.07011172736981,598.7694091796875,-22.81547,-47.07011,152.7032318115234
27,-22.81581824990319,-47.06858393061242,599.2063598632812,-22.81582,-47.06858,152.7032318115234
28,-22.81527861011035,-47.06698238552005,597.6229858398438,-22.81528,-47.06698,152.7032318115234
29,-22.81689400377713,-47.0668488511802,596.7183837890625,-22.81689,-47.06685,152.7032318115234
30,-22.8238721324388,-47.06017274942887,625.761474609375,-22.82387,-47.06017,152.7032318115234
31,-22.82381038849038,-47.06045318879278,623.4856567382812,-22.82381,-47.06045,152.7032318115234
32,-22.82370992311348,-47.06045501160165,622.8017578125,-22.82371,-47.06046,152.7032318115234
33,-22.82368517643762,-47.06039360849964,623.127685546875,-22.82369,-47.06039,152.7032318115234
34,-22.82395034852638,-47.06078211782845,621.5466918945312,-22.82395,-47.06078,152.7032318115234
35,-22.82493193173486,-47.06005310705982,631.6270141601562,-22.82493,-47.06005,152.7032318115234
36,-22.82453274222123,-47.06116694987694,619.056396484375,-22.82453,-47.06117,152.7032318115234
37,-22.8224340663403,-47.06501889875863,612.33154296875,-22.82243,-47.06502,152.7032318115234
38,-22.83004508025907,-47.06157472833602,647.9227294921875,-22.83005,-47.06157,152.7032318115234
39,-22.82428622451636,-47.06705183968418,620.1802368164062,-22.82429,-47.06705,152.7032318115234
40,-22.82213382283005,-47.06585140738187,614.1027221679688,-22.82213,-47.06585,152.7032318115234
41,-22.82199582759338,-47.06566780303999,613.1546630859375,-22.822,-47.06567,152.7032318115234
42,-22.81910157341906,-47.06379656232895,605.5315551757812,-22.8191,-47.0638,152.7032318115234
43,-22.81563396318857,-47.06108196119992,634.3387451171875,-22.81563,-47.06108,152.7032318115234
44,-22.81580063375836,-47.06106734628857,634.3970336914062,-22.8158,-47.06107,152.7032318115234
45,-22.81577660265504,-47.06117005074728,633.814453125,-22.81578,-47.06117,152.7032318115234
46,-22.81563704326873,-47.06118085291814,633.7562255859375,-22.81564,-47.06118,152.7032318115234
47,-22.8195177684542,-47.05869969053327,652.9938354492188,-22.81952,-47.0587,152.7032318115234
48,-22.81392380143293,-47.0656024589093,607.6585693359375,-22.81392,-47.0656,152.7032318115234
49,-22.81441814774787,-47.0658850128541,608.4117431640625,-22.81442,-47.06589,152.7032318115234
50,-22.81900903362243,-47.06711762639444,604.94140625,-22.81901,-47.06712,152.7032318115234
51,-22.81394827713055,-47.07367139612932,589.6709594726562,-22.81395,-47.07367,152.7032318115234
52,-22.81405881870844,-47.06064759414021,632.6246948242188,-22.81406,-47.06065,152.7032318115234
53,-22.81474172111605,-47.06125873946944,631.9913940429688,-22.81474,-47.06126,152.7032318115234
54,-22.81392137196319,-47.06132613357958,628.41455078125,-22.81392,-47.06133,152.7032318115234
55,-22.81386374133743,-47.06168885753904,626.0097045898438,-22.81386,-47.06169,152.7032318115234
56,-22.82327250868472,-47.06680503582987,619.5716552734375,-22.82327,-47.06681,152.7032318115234
57,-22.81770135590633,-47.06132687659973,630.8328857421875,-22.8177,-47.06133,152.7032318115234
58,-22.82343417403939,-47.06429785041659,614.1702880859375,-22.82343,-47.0643,152.7032318115234
59,-22.82099910108817,-47.06521927496112,606.3985595703125,-22.821,-47.06522,152.7032318115234
60,-22.82114391886391,-47.06479893952313,605.0503540039062,-22.82114,-47.0648,152.7032318115234
61,-22.81977673195413,-47.06602658340857,603.7990112304688,-22.81978,-47.06603,152.7032318115234
62,-22.81952439750955,-47.06587988459462,602.2006225585938,-22.81952,-47.06588,152.7032318115234
63,-22.81935030290659,-47.06525369076225,599.8670043945312,-22.81935,-47.06525,152.7032318115234
64,-22.81928133760465,-47.06539944768297,599.9290771484375,-22.81928,-47.0654,152.7032318115234
65,-22.81915161672836,-47.06546371409646,599.6620483398438,-22.81915,-47.06546,152.7032318115234
66,-22.81973439486072,-47.067365940765,609.2874145507812,-22.81973,-47.06737,152.7032318115234
67,-22.81986645198435,-47.0673180517639,609.5836791992188,-22.81987,-47.06732,152.7032318115234
68,-22.82899477853916,-47.06238403524676,639.9470825195312,-22.82899,-47.06238,152.7032318115234
69,-22.82869144545536,-47.06413841498021,636.1732788085938,-22.82869,-47.06414,152.7032318115234
70,-22.82891496660576,-47.06428354545105,636.362060546875,-22.82891,-47.06428,152.7032318115234
71,-22.82881142461422,-47.06465566320382,635.0897216796875,-22.82881,-47.06466,152.7032318115234
72,-22.81953606147225,-47.06055297006466,636.4346923828125,-22.81954,-47.06055,152.7032318115234
73,-22.82109817979591,-47.06832738150445,609.964111328125,-22.8211,-47.06833,152.7032318115234
74,-22.81939465807395,-47.07040239197086,606.7483520507812,-22.81939,-47.0704,152.7032318115234
75,-22.81908979908111,-47.07041093917199,607.1351318359375,-22.81909,-47.07041,152.7032318115234
76,-22.81637132300882,-47.06712951817406,597.013427734375,-22.81637,-47.06713,152.7032318115234
77,-22.81543102075872,-47.06887687532998,597.1596069335938,-22.81543,-47.06888,152.7032318115234
78,-22.81442231433872,-47.06956771704902,591.5365600585938,-22.81442,-47.06957,152.7032318115234
79,-22.81443529582239,-47.06969053553231,591.6821899414062,-22.81444,-47.06969,152.7032318115234
80,-22.81527516299797,-47.06911826230321,596.853759765625,-22.81528,-47.06912,152.7032318115234
81,-22.81480535186802,-47.07020480861557,594.8267211914062,-22.81481,-47.0702,152.7032318115234
82,-22.81398148454495,-47.07235905157118,589.9730834960938,-22.81398,-47.07236,152.7032318115234
