building_id,boundaries_xMin,boundaries_yMin,boundaries_xMax,boundaries_yMax,boundaries_zMax,boundaries_zMin
101.0,3899.25,1884.51,3940.15,1922.42,0.0,6.0
102.0,4178.11,1958.3,4212.4,2024.98,0.0,6.0
103.0,4103.49,2032.6,4142.16,2081.9,0.0,6.0
104.0,4091.51,2080.33,4132.4,2128.59,0.0,6.0
105.0,4177.36,2040.04,4283.73,2121.02,0.0,6.0
106.0,4098.91,2200.03,4138.44,2264.45,0.0,6.0
107.0,4002.25,2341.32,4039.42,2357.25,0.0,6.0
108.0,4112.91,1961.17,4170.52,1995.74,0.0,6.0
109.0,1514.91,1876.95,1520.94,1882.93,0.0,6.0
110.0,1521.83,1901.12,1556.96,1935.43,0.0,6.0
111.0,1019.84,538.175,1190.6,699.315,0.0,6.0
112.0,684.8,797.086,830.954,924.176,0.0,6.0
113.0,4323.9,324.642,4346.11,378.537,0.0,6.0
114.0,4346.09,364.22,4387.85,406.206,0.0,6.0
115.0,4356.12,336.067,4368.23,360.509,0.0,6.0
116.0,4167.74,62.1806,4210.63,108.24,0.0,6.0
117.0,4148.86,46.2039,4194.31,94.0203,0.0,6.0
118.0,4130.66,30.6669,4171.79,72.3257,0.0,6.0
119.0,4151.57,17.019,4210.33,68.4983,0.0,6.0
120.0,4117.23,55.6303,4175.68,109.659,0.0,6.0
121.0,4211.36,87.1351,4246.27,120.749,0.0,6.0
122.0,4194.78,105.631,4229.69,139.521,0.0,6.0
123.0,4256.88,95.2416,4295.88,134.275,0.0,6.0
124.0,4256.06,128.045,4270.49,141.251,0.0,6.0
125.0,4088.31,149.823,4115.86,186.784,0.0,6.0
126.0,4118.72,136.183,4198.15,176.446,0.0,6.0
127.0,4089.81,118.577,4121.79,149.745,0.0,6.0
128.0,4082.6,149.89,4090.9,158.212,0.0,6.0
129.0,4092.43,141.0,4098.48,146.819,0.0,6.0
130.0,4128.11,199.555,4138.2,207.177,0.0,6.0
131.0,4030.66,11.7004,4042.54,21.7568,0.0,6.0
132.0,3574.6,121.663,3587.87,145.218,0.0,6.0
133.0,3584.83,1.9457,3637.27,20.1446,0.0,6.0
134.0,3664.14,95.4783,3679.68,111.688,0.0,6.0
135.0,3667.04,76.2314,3682.3,91.2135,0.0,6.0
136.0,3669.71,56.7744,3684.93,72.3057,0.0,6.0
137.0,3672.36,38.6438,3687.92,53.6526,0.0,6.0
138.0,3634.3,35.2103,3661.4,108.137,0.0,6.0
139.0,3605.24,32.4864,3632.06,103.517,0.0,6.0
140.0,3576.36,27.7724,3603.48,100.108,0.0,6.0
141.0,3597.58,48.7906,3612.62,73.3646,0.0,6.0
142.0,3626.17,52.4553,3641.33,77.0574,0.0,6.0
143.0,3653.44,37.6999,3674.2,109.795,0.0,6.0
144.0,3615.67,112.678,3638.95,166.015,0.0,6.0
145.0,3558.62,167.45,3584.87,240.593,0.0,6.0
146.0,3586.64,171.39,3613.47,244.894,0.0,6.0
147.0,3614.78,174.733,3640.51,248.472,0.0,6.0
148.0,3646.03,236.226,3662.38,253.418,0.0,6.0
149.0,3648.91,216.792,3664.65,233.336,0.0,6.0
150.0,3651.69,197.9,3666.79,214.103,0.0,6.0
151.0,3654.51,178.797,3668.85,194.472,0.0,6.0
152.0,3632.6,177.913,3656.52,251.493,0.0,6.0
153.0,3605.82,203.108,3620.12,228.03,0.0,6.0
154.0,3577.57,198.947,3592.77,223.789,0.0,6.0
155.0,3511.94,173.092,3547.64,241.893,0.0,6.0
156.0,3467.1,179.936,3499.76,234.048,0.0,6.0
157.0,3451.71,144.167,3479.74,162.876,0.0,6.0
158.0,3423.4,83.4025,3488.63,131.257,0.0,6.0
159.0,3483.67,93.1282,3520.12,122.838,0.0,6.0
160.0,3507.88,123.711,3515.63,135.076,0.0,6.0
161.0,3533.91,51.6795,3561.99,88.9377,0.0,6.0
162.0,3489.15,11.371,3520.23,84.6003,0.0,6.0
163.0,3443.58,4.87252,3482.0,78.8993,0.0,6.0
164.0,3471.89,68.5975,3490.73,81.5207,0.0,6.0
165.0,3480.4,8.89002,3499.52,22.5587,0.0,6.0
166.0,3470.96,7.3629,3476.9,8.15446,0.0,6.0
167.0,3411.02,214.057,3465.38,243.044,0.0,6.0
168.0,3384.27,214.832,3412.13,237.833,0.0,6.0
169.0,3350.98,218.029,3384.7,233.747,0.0,6.0
170.0,3328.52,207.332,3352.25,225.414,0.0,6.0
171.0,3413.56,138.687,3437.63,169.875,0.0,6.0
172.0,3440.8,193.005,3453.7,219.494,0.0,6.0
173.0,3383.49,136.388,3403.9,180.129,0.0,6.0
174.0,3351.83,129.308,3380.24,183.952,0.0,6.0
175.0,3347.4,26.7182,3369.47,68.464,0.0,6.0
176.0,3355.07,4.53276,3424.83,14.5085,0.0,6.0
177.0,3376.54,78.1598,3413.2,111.25,0.0,6.0
178.0,3355.05,74.773,3379.68,103.003,0.0,6.0
179.0,3330.56,84.9701,3356.96,113.112,0.0,6.0
180.0,3613.01,255.157,3652.9,272.777,0.0,6.0
181.0,3567.31,249.691,3602.48,266.196,0.0,6.0
182.0,1703.97,623.896,1764.1,666.418,0.0,6.0
183.0,1772.79,642.333,1804.43,667.125,0.0,6.0
184.0,1766.55,626.868,1796.02,648.711,0.0,6.0
185.0,1749.91,682.211,1828.68,719.623,0.0,6.0
186.0,1846.69,689.142,1863.92,707.09,0.0,6.0
187.0,2190.9,398.51,2244.86,470.838,0.0,6.0
188.0,2259.11,311.631,2308.89,337.155,0.0,6.0
189.0,2326.74,272.304,2374.25,323.941,0.0,6.0
190.0,2353.61,319.574,2388.04,340.522,0.0,6.0
191.0,2268.12,436.988,2286.81,455.381,0.0,6.0
192.0,2264.68,384.019,2294.09,398.442,0.0,6.0
193.0,2294.38,389.051,2323.19,408.655,0.0,6.0
194.0,2329.11,392.366,2354.75,417.432,0.0,6.0
195.0,2275.93,406.568,2324.49,429.579,0.0,6.0
196.0,2290.04,422.534,2318.74,458.126,0.0,6.0
197.0,2313.94,426.69,2346.54,473.692,0.0,6.0
198.0,2272.24,394.794,2333.19,417.432,0.0,6.0
199.0,2396.07,582.197,2479.51,641.046,0.0,6.0
200.0,2363.22,634.998,2458.12,723.018,0.0,6.0
201.0,1981.14,757.875,2013.64,783.301,0.0,6.0
202.0,1531.27,2128.06,1598.39,2175.05,0.0,6.0
203.0,2111.02,2009.41,2188.23,2055.56,0.0,6.0
204.0,2120.95,1986.16,2197.7,2032.84,0.0,6.0
205.0,2528.37,2182.1,2549.43,2224.44,0.0,6.0
206.0,2728.41,1694.14,2761.93,1720.38,0.0,6.0
207.0,2395.46,2349.37,2430.11,2409.76,0.0,6.0
208.0,2085.72,720.989,2275.77,942.483,0.0,6.0
209.0,677.006,248.737,701.659,285.892,0.0,6.0
210.0,1524.21,1197.39,1546.73,1219.67,0.0,6.0
211.0,408.407,603.537,482.444,661.673,0.0,6.0
212.0,1341.91,815.062,1373.68,848.648,0.0,6.0
213.0,1219.83,1666.78,1242.41,1689.62,0.0,6.0
214.0,374.799,976.924,423.856,1026.17,0.0,6.0
215.0,440.483,1105.07,490.395,1161.07,0.0,6.0
216.0,649.531,2557.32,673.851,2589.18,0.0,6.0
217.0,4057.86,1885.24,4113.06,1918.2,0.0,6.0
218.0,3982.09,1868.85,4047.15,1901.96,0.0,6.0
219.0,4231.56,2332.23,4295.12,2421.04,0.0,6.0
220.0,851.084,974.285,883.125,1007.68,0.0,6.0
221.0,1968.44,1344.18,1998.1,1374.03,0.0,6.0
222.0,2005.27,1282.58,2033.07,1314.61,0.0,6.0
223.0,2032.99,1303.44,2046.04,1327.51,0.0,6.0
224.0,2022.95,1297.8,2035.18,1309.15,0.0,6.0
225.0,1820.91,1502.71,1868.0,1543.71,0.0,6.0
226.0,1819.21,1463.73,1883.03,1512.09,0.0,6.0
227.0,1827.94,1426.96,1874.95,1468.34,0.0,6.0
228.0,1875.43,1445.55,1955.58,1506.44,0.0,6.0
229.0,1967.11,1529.52,1998.34,1560.43,0.0,6.0
230.0,1944.38,1547.07,2058.0,1656.84,0.0,6.0
231.0,1955.36,1551.62,1980.36,1576.93,0.0,6.0
232.0,1927.25,1549.45,1950.93,1573.11,0.0,6.0
233.0,1908.57,1563.17,1957.14,1611.73,0.0,6.0
234.0,1894.62,1581.48,1935.3,1622.37,0.0,6.0
235.0,1942.1,1645.04,1956.07,1658.98,0.0,6.0
236.0,2007.93,1589.09,2098.75,1668.24,0.0,6.0
237.0,2089.43,1655.61,2132.36,1690.79,0.0,6.0
238.0,1478.58,1975.51,1530.14,2024.11,0.0,6.0
239.0,2110.34,1220.18,2138.57,1246.48,0.0,6.0
240.0,2135.3,1181.42,2170.54,1222.29,0.0,6.0
241.0,2244.51,1097.26,2290.52,1128.46,0.0,6.0
242.0,1656.19,1500.71,1700.97,1545.09,0.0,6.0
243.0,1514.68,2219.96,1556.35,2255.76,0.0,6.0
244.0,1578.78,2241.53,1595.39,2261.69,0.0,6.0
245.0,1929.71,1028.48,2049.85,1176.55,0.0,6.0
246.0,2030.91,1094.25,2148.21,1237.89,0.0,6.0
247.0,2129.36,1050.57,2164.21,1072.09,0.0,6.0
248.0,1973.11,970.825,2003.59,1003.87,0.0,6.0
249.0,2188.87,1240.4,2253.8,1317.32,0.0,6.0
250.0,2606.44,544.578,2622.34,561.13,0.0,6.0
251.0,1949.43,1528.18,1960.08,1538.42,0.0,6.0
252.0,2339.62,720.446,2389.91,775.117,0.0,6.0
253.0,1869.54,765.635,1880.23,775.854,0.0,6.0
254.0,1873.01,756.375,1883.16,765.941,0.0,6.0
255.0,1875.49,746.34,1886.26,757.058,0.0,6.0
256.0,1884.44,732.275,1895.33,742.907,0.0,6.0
257.0,2055.45,619.8,2078.49,638.235,0.0,6.0
258.0,1794.72,2082.43,1836.1,2122.68,0.0,6.0
259.0,1275.9,2092.99,1286.76,2103.52,0.0,6.0
260.0,2096.54,1361.77,2142.43,1407.15,0.0,6.0
261.0,2115.39,1383.54,2158.0,1424.69,0.0,6.0
262.0,2143.9,1406.73,2190.81,1455.29,0.0,6.0
