x,y,z
1494.522505568457,1093.36204565689,1.5
1444.593585658935,1176.185366079211,1.5
1320.3428198279,1081.072501675226,1.5
1427.714067433903,1539.605084873736,1.5
1474.99973235745,1587.452449325472,1.5
1512.031507335603,1774.171838387847,1.5
1370.417874818086,1774.965434107929,1.5
1282.52453760989,1796.667813068256,1.5
1099.841056074598,2296.898203218356,1.5
1107.425474438176,2268.536449596286,1.5
1121.82634635712,2259.433000843972,1.5
1200.810981404909,1934.652991903014,1.5
1193.807051055599,1884.70899908524,1.5
1711.940416683909,2173.511221848428,1.5
1530.542923228117,2221.383066867478,1.5
1500.184681108221,2270.251991886646,1.5
978.8491558027454,2364.770608691499,1.5
855.8682120376616,2332.478748695925,1.5
964.110628716182,2236.404413409531,1.5
1063.938829543535,1875.251551368274,1.5
794.7655535446247,1503.400110995397,1.5
569.3361069695675,1396.230701235123,1.5
983.6241381774889,1626.559221916832,1.5
1116.241356581217,1519.969666535035,1.5
1099.258900495945,2022.514487059787,1.5
1079.349489177344,2109.854847700335,1.5
621.5411320693092,2390.455227799714,1.5
552.4280848791823,2368.662716213614,1.5
172.1368687112117,1909.839504617266,1.5
208.8025018305052,1887.424634393305,1.5
259.5645188090275,1958.143398704007,1.5
182.1457547461032,2060.07325805258,1.5
352.4883611525875,2244.346611587331,1.5
441.7540462537436,2242.274738036096,1.5
575.4277365222806,2222.215041901916,1.5
700.8725999883027,2151.749635796063,1.5
783.8320620964514,2049.894955057651,1.5
819.5984927483369,2010.961426266469,1.5
853.1979460085277,1892.021930531599,1.5
1004.070607040776,1897.454805401154,1.5
927.4778393048909,1705.749658399262,1.5
829.3675855603651,1789.780576438643,1.5
838.3031246589962,1855.702695084736,1.5
762.1267596741091,1671.091570392251,1.5
724.9532235281076,1612.527944714762,1.5
676.8709619306028,1585.048499519005,1.5
492.6739389991853,1517.778607496992,1.5
401.8320308937691,1515.397488268092,1.5
390.3696039379574,1585.907950209454,1.5
388.6124806638691,1674.609975927509,1.5
386.132894256385,1734.280163252726,1.5
982.2037863839651,1375.646491667256,1.5
1087.531174018863,1245.192584590986,1.5
1059.190586089157,1105.669973572716,1.5
924.8530362233287,1298.745739661157,1.5
951.7150117773563,1037.373021841981,1.5
808.3171709853923,968.0185836534947,1.5
648.3299975820701,1144.782251318917,1.5
772.9714010498719,1211.770926330239,1.5
869.1943015930592,1262.410054802895,1.5
962.787995519815,1111.965040823445,1.5
725.2135522243334,728.5893913432956,1.5
1262.077213367797,386.0670370459557,1.5
1257.637556180474,505.4144593859091,1.5
1090.64419911633,515.7082393337041,1.5
899.0858741856646,586.4689986817539,1.5
1013.407155296591,642.2346942704171,1.5
1077.482312561246,663.9553880244493,1.5
1173.128727059113,718.9048017449677,1.5
1162.35419368709,784.551281475462,1.5
709.9138599255821,794.6154379844666,1.5
1359.739790419233,730.3730941955,1.5
1453.46719383751,562.4260364174843,1.5
1275.426118680276,885.8235109280795,1.5
1235.858190246858,645.8981169229373,1.5
1408.889532125439,2336.880150362849,1.5
