minx,miny,maxx,maxy
2184.996146517573,2206.4242889340967,2228.596089881903,2246.880641972646
1706.8793984073563,1857.6956350402907,1732.9952387762605,1883.6720692049712
1476.5825184487621,1753.4644164796919,1534.5367092175875,1836.472366169095
2073.9806493082433,2069.5180346062407,2163.6758332197205,2142.5510133784264
2173.3542307795724,2236.4476940222085,2219.251139687083,2267.9502496328205
1511.1838258474017,1784.4223511442542,1542.1250542234047,1808.9420887604356
1328.8323835300398,1756.0071409735829,1398.3733095679781,1836.3086150819436
1394.544443435676,2012.2776403948665,1520.4377913713106,2137.7673634923995
1767.8069996808772,2055.5651290863752,1806.8292260800372,2093.1065439097583
1688.7730681143003,1996.8551210332662,1782.1437926913495,2094.7347662365064
1418.961258940748,1890.1412237081677,1486.121605842316,1982.5782177373767
1777.726107772207,1962.3189079277217,1854.267315389996,2037.2387937754393
1733.83753948909,2093.78648501914,1773.5709903920651,2131.7373370360583
1633.339135860675,1426.515934523195,1706.4774188929587,1462.2010002583265
1318.794090096082,2142.1896563563496,1390.7702564803185,2214.017716440372
1290.555150468601,2069.0144218718633,1325.2974540320574,2110.8979680063203
1273.0564573240117,2003.2699930742383,1293.824812670413,2066.861853321083
1286.7120509240194,2117.427052553743,1329.434972765448,2134.1940085217357
1826.7554001222015,1610.6112087070942,1916.8481824283372,1735.3459366774186
1979.3010284572956,2058.6082160491496,2140.9859008504427,2179.347719501704
2484.1833766411874,1572.9161292845383,2496.8250433482463,1590.7991912234575
2402.7479070298723,2328.483332734555,2497.4579530136543,2428.802652258426
1854.9684002934373,1890.8046520873904,1887.1893022023723,1937.4960239566863
1788.830042811518,1892.6424241233617,1818.723695150693,1910.157794214785
2170.874133324367,1892.7267575524747,2193.7535272071254,1936.6524279210716
2158.1448618133436,1949.8337606992573,2215.629607070645,2004.9403178170323
1834.2836840235977,1892.261891107075,1850.3306342415744,1940.4737229701132
1866.463800067373,1939.806312522851,1888.4656949026394,1955.4339732592925
2113.96645199653,1867.9777913875878,2135.9985768651823,1900.6990084536374
2093.5067924291943,1882.4634459670633,2112.240419925016,1903.1743874065578
2362.9986004705424,1842.1555813681334,2413.5056789554073,1860.6594808353111
2362.4825676369946,1776.3833273760974,2414.682026700757,1839.0054074134678
2274.7459356315085,1912.6585832573473,2292.544142323255,1944.6597932474688
2298.7793906012666,1912.8835875606164,2316.754397691402,1945.053325210698
2323.789567039581,1913.255073722452,2341.6917245672666,1945.3462510351092
3530.7506552925915,2645.4214595230296,3540.7148480264586,2660.447316917591
3591.930113930197,2646.027445141226,3607.742496355495,2661.465870924294
3918.7011428648257,2435.288516801782,4014.1512175733806,2482.930595105514
3585.0823701946647,2457.9887956418097,3633.0244153856765,2533.069945452735
3795.151278316218,2398.057504206896,3907.5939911709283,2481.050335302949
3776.3890009608003,2472.949727585539,3878.268359354406,2532.9553505927324
2592.8481180479866,2262.361918181181,2635.116620666173,2328.4831654392183
2587.3371496687178,2343.2448602877557,2624.5370534753893,2368.7599988887087
2537.468026600429,2296.99572269246,2575.1851687433664,2318.984191585332
2581.3652124527725,2374.2268146937713,2621.39231435681,2412.708147438243
